"Action","Source address","Destination address","Port","Protocol"
"0","172.160.2.131","203.222.201.19","22","6"
"0","203.222.201.133","192.168.1.19","25","6"
"0","203.222.201.216","192.168.1.123","80","6"
"0","172.160.2.243","203.222.201.122","21","6"
"0","203.222.201.117","172.160.2.48","110","17"
"1","192.168.1.88","192.168.1.214","23","6"
"0","203.222.201.206","192.168.1.193","110","17"
"0","203.222.201.170","192.168.1.80","21","6"
"1","192.168.1.234","203.222.201.29","25","6"
"0","172.160.2.74","192.168.1.199","25","6"
"0","172.160.2.113","192.168.1.192","22","6"
"0","172.160.2.212","203.222.201.109","22","6"
"0","192.168.1.58","203.222.201.146","110","17"
"1","172.160.2.12","172.160.2.171","21","6"
"0","203.222.201.65","192.168.1.86","22","6"
"1","172.160.2.177","172.160.2.209","25","6"
"0","192.168.1.116","172.160.2.227","25","6"
"0","192.168.1.107","203.222.201.141","53","17"
"1","172.160.2.119","172.160.2.137","25","6"
"0","203.222.201.117","192.168.1.169","25","6"
"0","203.222.201.28","192.168.1.226","110","17"
"0","192.168.1.197","203.222.201.174","23","6"
"1","192.168.1.19","203.222.201.66","21","6"
"1","192.168.1.70","192.168.1.56","22","6"
"0","192.168.1.8","172.160.2.176","110","17"
"1","203.222.201.36","203.222.201.42","22","6"
"0","203.222.201.40","172.160.2.158","110","17"
"1","203.222.201.191","203.222.201.75","80","6"
"0","203.222.201.112","172.160.2.90","22","6"
"0","203.222.201.139","172.160.2.109","25","6"
"1","192.168.1.250","192.168.1.66","25","6"
"0","203.222.201.75","172.160.2.180","80","6"
"0","172.160.2.212","192.168.1.221","25","6"
"1","203.222.201.16","203.222.201.112","25","6"
"1","172.160.2.142","192.168.1.55","23","6"
"0","172.160.2.173","192.168.1.217","25","6"
"1","203.222.201.135","203.222.201.184","21","6"
"1","192.168.1.66","192.168.1.7","110","17"
"0","192.168.1.204","172.160.2.112","25","6"
"0","192.168.1.87","172.160.2.98","21","6"
"0","203.222.201.95","192.168.1.129","25","6"
"0","192.168.1.157","172.160.2.238","23","6"
"0","203.222.201.99","192.168.1.216","21","6"
"0","172.160.2.51","203.222.201.111","80","6"
"0","203.222.201.221","192.168.1.127","53","17"
"1","172.160.2.171","172.160.2.48","22","6"
"0","203.222.201.159","172.160.2.42","21","6"
"1","172.160.2.51","172.160.2.181","22","6"
"0","192.168.1.137","172.160.2.222","21","6"
"0","203.222.201.103","192.168.1.193","22","6"
"0","192.168.1.163","203.222.201.200","80","6"
"1","192.168.1.119","203.222.201.89","25","6"
"0","203.222.201.150","172.160.2.120","21","6"
"0","192.168.1.208","172.160.2.46","80","6"
"1","172.160.2.233","172.160.2.48","25","6"
"0","192.168.1.15","172.160.2.229","22","6"
"1","192.168.1.107","203.222.201.90","21","6"
"1","203.222.201.48","203.222.201.175","25","6"
"1","192.168.1.211","192.168.1.10","80","6"
"0","192.168.1.46","172.160.2.160","25","6"
"1","192.168.1.192","192.168.1.96","80","6"
"0","203.222.201.193","172.160.2.101","22","6"
"1","203.222.201.76","203.222.201.52","21","6"
"1","172.160.2.19","192.168.1.97","23","6"
"1","172.160.2.175","172.160.2.101","110","17"
"0","172.160.2.52","192.168.1.68","80","6"
"0","203.222.201.186","192.168.1.108","53","17"
"0","172.160.2.190","192.168.1.55","110","17"
"0","192.168.1.164","172.160.2.130","110","17"
"0","172.160.2.131","192.168.1.181","53","17"
"0","203.222.201.26","172.160.2.44","22","6"
"1","192.168.1.140","203.222.201.231","21","6"
"0","172.160.2.232","192.168.1.176","53","17"
"1","203.222.201.110","203.222.201.215","80","6"
"1","172.160.2.13","172.160.2.118","21","6"
"0","192.168.1.174","203.222.201.102","80","6"
"0","192.168.1.175","172.160.2.85","110","17"
"1","203.222.201.164","172.160.2.50","53","17"
"0","203.222.201.104","192.168.1.156","80","6"
"0","192.168.1.157","203.222.201.138","80","6"
"0","172.160.2.76","192.168.1.118","110","17"
"0","192.168.1.72","203.222.201.28","53","17"
"0","192.168.1.58","172.160.2.1","22","6"
"0","172.160.2.214","203.222.201.75","23","6"
"0","203.222.201.3","172.160.2.64","80","6"
"0","172.160.2.86","192.168.1.195","53","17"
"1","172.160.2.169","172.160.2.96","53","17"
"0","203.222.201.37","172.160.2.5","80","6"
"0","203.222.201.161","172.160.2.187","25","6"
"0","192.168.1.114","172.160.2.119","53","17"
"1","192.168.1.180","192.168.1.231","23","6"
"0","192.168.1.232","203.222.201.32","80","6"
"0","203.222.201.133","192.168.1.158","25","6"
"0","203.222.201.28","172.160.2.59","21","6"
"0","203.222.201.216","172.160.2.180","25","6"
"0","203.222.201.47","172.160.2.81","110","17"
"0","172.160.2.220","192.168.1.214","110","17"
"1","172.160.2.244","172.160.2.32","23","6"
"0","192.168.1.129","172.160.2.236","25","6"
"0","203.222.201.191","192.168.1.149","80","6"
"0","192.168.1.82","172.160.2.134","53","17"
"0","172.160.2.72","192.168.1.223","22","6"
"0","203.222.201.115","192.168.1.41","80","6"
"0","172.160.2.123","203.222.201.66","53","17"
"1","203.222.201.151","203.222.201.186","22","6"
"0","192.168.1.133","172.160.2.115","53","17"
"0","172.160.2.39","192.168.1.159","110","17"
"1","172.160.2.173","172.160.2.50","80","6"
"1","203.222.201.65","203.222.201.62","22","6"
"0","172.160.2.56","192.168.1.227","21","6"
"1","192.168.1.210","192.168.1.163","53","17"
"0","203.222.201.200","172.160.2.207","21","6"
"0","203.222.201.113","172.160.2.70","110","17"
"1","192.168.1.227","192.168.1.84","21","6"
"0","192.168.1.10","172.160.2.253","21","6"
"1","172.160.2.124","172.160.2.229","110","17"
"0","203.222.201.80","172.160.2.75","23","6"
"0","172.160.2.94","203.222.201.125","22","6"
"0","172.160.2.121","203.222.201.233","22","6"
"0","203.222.201.212","192.168.1.82","110","17"
"0","203.222.201.213","192.168.1.184","80","6"
"1","203.222.201.87","203.222.201.233","53","17"
"0","203.222.201.106","192.168.1.40","110","17"
"0","172.160.2.205","203.222.201.200","25","6"
"0","172.160.2.166","203.222.201.98","22","6"
"0","172.160.2.14","203.222.201.199","80","6"
"1","203.222.201.9","203.222.201.149","23","6"
"1","192.168.1.71","203.222.201.67","21","6"
"0","172.160.2.222","203.222.201.148","25","6"
"0","172.160.2.13","192.168.1.212","80","6"
"0","192.168.1.191","203.222.201.65","53","17"
"0","203.222.201.62","172.160.2.199","22","6"
"1","203.222.201.1","203.222.201.96","25","6"
"1","172.160.2.245","172.160.2.5","22","6"
"0","192.168.1.95","203.222.201.195","23","6"
"1","203.222.201.51","203.222.201.227","53","17"
"1","203.222.201.98","203.222.201.7","80","6"
"1","192.168.1.240","192.168.1.186","25","6"
"1","172.160.2.33","192.168.1.191","23","6"
"0","203.222.201.237","192.168.1.210","80","6"
"1","203.222.201.250","203.222.201.123","22","6"
"1","203.222.201.72","203.222.201.179","21","6"
"0","172.160.2.220","203.222.201.29","21","6"
"0","203.222.201.36","192.168.1.157","23","6"
"0","172.160.2.142","203.222.201.68","80","6"
"1","203.222.201.6","203.222.201.63","21","6"
"0","203.222.201.159","192.168.1.68","21","6"
"1","203.222.201.218","203.222.201.94","22","6"
"0","172.160.2.36","192.168.1.46","80","6"
"0","192.168.1.189","203.222.201.193","80","6"
"1","172.160.2.151","172.160.2.128","21","6"
"0","192.168.1.42","172.160.2.208","110","17"
"1","203.222.201.232","203.222.201.88","110","17"
"0","172.160.2.106","203.222.201.24","25","6"
"0","172.160.2.241","203.222.201.101","25","6"
"1","192.168.1.65","192.168.1.103","21","6"
"0","203.222.201.140","172.160.2.151","110","17"
"0","192.168.1.249","203.222.201.211","22","6"
"0","203.222.201.216","172.160.2.183","80","6"
"1","172.160.2.78","172.160.2.6","110","17"
"0","172.160.2.228","203.222.201.221","21","6"
"0","203.222.201.214","172.160.2.236","110","17"
"1","203.222.201.209","203.222.201.113","23","6"
"0","192.168.1.44","203.222.201.130","110","17"
"1","203.222.201.101","203.222.201.161","23","6"
"0","192.168.1.112","172.160.2.191","21","6"
"1","172.160.2.207","172.160.2.170","80","6"
"0","192.168.1.251","172.160.2.32","80","6"
"1","203.222.201.193","203.222.201.26","53","17"
"1","192.168.1.182","192.168.1.60","22","6"
"0","172.160.2.90","203.222.201.94","21","6"
"0","203.222.201.251","192.168.1.12","21","6"
"0","172.160.2.53","203.222.201.163","22","6"
"0","172.160.2.197","192.168.1.18","110","17"
"0","192.168.1.152","203.222.201.243","23","6"
"0","172.160.2.196","203.222.201.204","23","6"
"0","172.160.2.92","203.222.201.232","25","6"
"0","192.168.1.49","203.222.201.198","110","17"
"0","192.168.1.99","203.222.201.180","22","6"
"0","192.168.1.78","203.222.201.138","23","6"
"1","192.168.1.145","192.168.1.240","80","6"
"1","203.222.201.26","203.222.201.216","80","6"
"1","203.222.201.242","203.222.201.250","22","6"
"1","203.222.201.5","172.160.2.173","53","17"
"0","192.168.1.60","203.222.201.140","110","17"
"0","172.160.2.5","203.222.201.222","21","6"
"1","192.168.1.47","192.168.1.108","23","6"
"0","172.160.2.149","203.222.201.75","23","6"
"0","203.222.201.92","172.160.2.70","22","6"
"0","203.222.201.181","192.168.1.52","53","17"
"1","203.222.201.183","203.222.201.159","80","6"
"0","203.222.201.157","192.168.1.126","110","17"
"0","192.168.1.177","172.160.2.125","25","6"
"1","192.168.1.211","192.168.1.204","110","17"
"0","192.168.1.205","172.160.2.84","53","17"
"0","172.160.2.10","192.168.1.165","110","17"
"1","172.160.2.177","172.160.2.221","53","17"
"1","203.222.201.54","203.222.201.54","80","6"
"1","203.222.201.44","203.222.201.44","25","6"
"1","192.168.1.138","203.222.201.216","25","6"
"0","172.160.2.5","192.168.1.188","21","6"
"0","172.160.2.29","192.168.1.70","25","6"
"1","192.168.1.83","192.168.1.163","80","6"
"0","192.168.1.55","172.160.2.164","22","6"
"0","172.160.2.58","192.168.1.17","25","6"
"0","172.160.2.202","192.168.1.225","53","17"
"1","192.168.1.243","192.168.1.213","110","17"
"1","172.160.2.130","172.160.2.119","23","6"
"1","192.168.1.181","203.222.201.81","25","6"
"0","192.168.1.33","203.222.201.78","53","17"
"0","172.160.2.241","192.168.1.172","53","17"
"0","192.168.1.28","172.160.2.210","53","17"
"1","192.168.1.251","192.168.1.2","22","6"
"0","203.222.201.58","192.168.1.159","25","6"
"1","203.222.201.62","172.160.2.178","53","17"
"1","172.160.2.72","172.160.2.97","25","6"
"0","172.160.2.73","203.222.201.245","23","6"
"1","172.160.2.8","192.168.1.188","23","6"
"0","203.222.201.194","172.160.2.86","110","17"
"1","192.168.1.1","192.168.1.194","53","17"
"1","172.160.2.51","172.160.2.83","53","17"
"0","172.160.2.119","192.168.1.168","25","6"
"0","192.168.1.98","172.160.2.40","23","6"
"0","192.168.1.73","203.222.201.35","53","17"
"1","172.160.2.159","172.160.2.121","21","6"
"0","203.222.201.228","192.168.1.59","80","6"
"1","203.222.201.41","172.160.2.36","53","17"
"0","172.160.2.128","203.222.201.95","23","6"
"0","203.222.201.11","172.160.2.237","22","6"
"1","192.168.1.107","192.168.1.182","21","6"
"0","203.222.201.26","192.168.1.194","53","17"
"0","203.222.201.206","192.168.1.60","25","6"
"0","192.168.1.18","172.160.2.50","25","6"
"0","192.168.1.74","172.160.2.214","21","6"
"1","203.222.201.40","203.222.201.110","23","6"
"0","192.168.1.16","172.160.2.13","23","6"
"1","172.160.2.77","172.160.2.93","23","6"
"0","172.160.2.157","192.168.1.249","22","6"
"1","172.160.2.148","172.160.2.185","80","6"
"0","203.222.201.134","172.160.2.109","23","6"
"1","172.160.2.174","172.160.2.239","53","17"
"0","172.160.2.159","203.222.201.48","110","17"
"1","192.168.1.5","192.168.1.153","22","6"
"0","203.222.201.149","192.168.1.5","25","6"
"0","192.168.1.10","203.222.201.138","22","6"
"0","192.168.1.52","172.160.2.130","53","17"
"1","203.222.201.93","203.222.201.49","25","6"
"0","192.168.1.65","203.222.201.101","53","17"
"0","172.160.2.10","203.222.201.158","80","6"
"0","172.160.2.12","203.222.201.106","23","6"
"0","192.168.1.224","203.222.201.48","80","6"
"1","192.168.1.127","192.168.1.140","22","6"
"1","203.222.201.193","203.222.201.68","23","6"
"1","192.168.1.140","192.168.1.253","23","6"
"1","172.160.2.14","172.160.2.59","110","17"
"0","172.160.2.40","203.222.201.51","80","6"
"1","192.168.1.52","192.168.1.61","22","6"
"0","203.222.201.233","192.168.1.178","53","17"
"0","172.160.2.49","192.168.1.174","22","6"
"0","203.222.201.162","192.168.1.196","23","6"
"0","192.168.1.212","203.222.201.219","110","17"
"1","192.168.1.86","192.168.1.215","22","6"
"1","192.168.1.169","192.168.1.210","53","17"
"0","172.160.2.115","203.222.201.159","23","6"
"0","192.168.1.55","172.160.2.55","22","6"
"0","172.160.2.27","203.222.201.63","22","6"
"1","203.222.201.240","203.222.201.226","110","17"
"0","172.160.2.3","203.222.201.243","80","6"
"0","192.168.1.62","172.160.2.111","23","6"
"1","172.160.2.180","172.160.2.157","21","6"
"1","192.168.1.76","192.168.1.172","21","6"
"0","172.160.2.205","203.222.201.32","25","6"
"1","203.222.201.123","172.160.2.1","53","17"
"1","172.160.2.29","172.160.2.41","53","17"
"0","172.160.2.25","203.222.201.102","25","6"
"1","172.160.2.186","172.160.2.160","25","6"
"1","203.222.201.24","172.160.2.234","53","17"
"0","192.168.1.154","172.160.2.184","80","6"
"1","192.168.1.214","203.222.201.200","25","6"
"1","172.160.2.76","172.160.2.220","110","17"
"0","203.222.201.48","192.168.1.183","23","6"
"0","192.168.1.110","203.222.201.123","23","6"
"1","192.168.1.219","203.222.201.75","25","6"
"1","203.222.201.168","203.222.201.54","21","6"
"0","192.168.1.193","172.160.2.196","110","17"
"0","192.168.1.28","203.222.201.138","80","6"
"1","192.168.1.176","192.168.1.100","80","6"
"0","203.222.201.46","172.160.2.252","25","6"
"1","192.168.1.49","192.168.1.130","110","17"
"0","192.168.1.91","172.160.2.211","22","6"
"1","172.160.2.66","172.160.2.244","25","6"
"1","172.160.2.213","172.160.2.232","21","6"
"1","172.160.2.64","172.160.2.246","23","6"
"0","172.160.2.178","203.222.201.158","21","6"
"1","203.222.201.157","203.222.201.98","23","6"
"0","192.168.1.156","172.160.2.120","53","17"
"0","203.222.201.91","192.168.1.62","53","17"
"1","203.222.201.118","203.222.201.68","23","6"
"0","203.222.201.71","172.160.2.196","21","6"
"0","192.168.1.48","172.160.2.146","23","6"
"0","172.160.2.195","192.168.1.47","110","17"
"0","203.222.201.212","192.168.1.37","21","6"
"0","203.222.201.148","172.160.2.100","23","6"
"1","172.160.2.233","172.160.2.252","22","6"
"0","192.168.1.78","172.160.2.16","53","17"
"1","172.160.2.239","172.160.2.116","80","6"
"1","203.222.201.98","203.222.201.96","53","17"
"0","192.168.1.99","172.160.2.71","23","6"
"1","172.160.2.228","172.160.2.174","53","17"
"1","192.168.1.38","192.168.1.236","80","6"
"1","192.168.1.149","192.168.1.205","80","6"
"0","192.168.1.69","203.222.201.111","23","6"
"0","172.160.2.39","203.222.201.130","22","6"
"1","192.168.1.230","192.168.1.122","110","17"
"0","192.168.1.134","172.160.2.83","25","6"
"0","172.160.2.64","192.168.1.242","21","6"
"0","203.222.201.47","192.168.1.191","22","6"
"0","203.222.201.117","172.160.2.179","21","6"
"0","192.168.1.125","172.160.2.177","53","17"
"1","203.222.201.209","203.222.201.254","53","17"
"0","192.168.1.52","172.160.2.209","80","6"
"0","192.168.1.189","203.222.201.21","110","17"
"0","203.222.201.207","172.160.2.217","80","6"
"1","172.160.2.157","192.168.1.67","23","6"
"1","203.222.201.217","203.222.201.181","53","17"
"1","192.168.1.251","192.168.1.169","80","6"
"1","203.222.201.105","203.222.201.105","53","17"
"1","192.168.1.40","192.168.1.240","23","6"
"0","203.222.201.116","172.160.2.25","21","6"
"0","203.222.201.91","192.168.1.106","80","6"
"0","203.222.201.178","192.168.1.95","21","6"
"0","172.160.2.124","192.168.1.170","53","17"
"1","203.222.201.200","203.222.201.85","22","6"
"0","172.160.2.90","203.222.201.121","23","6"
"1","172.160.2.244","192.168.1.125","23","6"
"1","203.222.201.159","203.222.201.161","23","6"
"1","192.168.1.93","192.168.1.155","110","17"
"0","203.222.201.115","192.168.1.38","80","6"
"0","203.222.201.112","192.168.1.92","22","6"
"0","203.222.201.42","192.168.1.42","53","17"
"0","172.160.2.52","203.222.201.217","53","17"
"1","172.160.2.189","172.160.2.23","23","6"
"1","203.222.201.218","203.222.201.174","21","6"
"1","203.222.201.176","203.222.201.99","25","6"
"0","172.160.2.197","203.222.201.97","53","17"
"0","203.222.201.147","172.160.2.241","25","6"
"1","172.160.2.34","172.160.2.169","21","6"
"0","203.222.201.169","192.168.1.162","80","6"
"0","203.222.201.189","192.168.1.18","110","17"
"0","203.222.201.187","172.160.2.35","21","6"
"1","192.168.1.223","192.168.1.223","80","6"
"0","172.160.2.90","192.168.1.215","21","6"
"1","192.168.1.247","192.168.1.201","110","17"
"1","203.222.201.37","203.222.201.237","80","6"
"1","172.160.2.227","172.160.2.16","80","6"
"1","203.222.201.70","203.222.201.228","53","17"
"0","172.160.2.252","203.222.201.200","110","17"
"0","172.160.2.203","192.168.1.78","80","6"
"1","203.222.201.97","203.222.201.27","23","6"
"0","172.160.2.162","192.168.1.201","80","6"
"0","192.168.1.20","172.160.2.109","25","6"
"1","192.168.1.218","192.168.1.51","80","6"
"0","172.160.2.54","192.168.1.210","110","17"
"0","203.222.201.94","172.160.2.225","80","6"
"0","203.222.201.214","172.160.2.210","23","6"
"0","172.160.2.43","192.168.1.77","21","6"
"0","172.160.2.28","203.222.201.3","21","6"
"0","172.160.2.85","192.168.1.219","53","17"
"1","192.168.1.221","192.168.1.124","23","6"
"1","172.160.2.145","192.168.1.137","23","6"
"1","172.160.2.231","172.160.2.49","110","17"
"1","172.160.2.197","172.160.2.92","22","6"
"1","203.222.201.146","203.222.201.42","21","6"
"0","203.222.201.51","172.160.2.171","21","6"
"1","203.222.201.68","203.222.201.227","23","6"
"1","172.160.2.64","172.160.2.61","25","6"
"0","192.168.1.170","203.222.201.168","22","6"
"0","203.222.201.20","192.168.1.181","23","6"
"0","172.160.2.9","192.168.1.183","25","6"
"0","203.222.201.184","192.168.1.191","110","17"
"0","192.168.1.226","172.160.2.36","53","17"
"1","172.160.2.106","172.160.2.84","21","6"
"1","172.160.2.188","172.160.2.147","21","6"
"0","203.222.201.242","192.168.1.254","22","6"
"1","203.222.201.129","203.222.201.220","23","6"
"1","192.168.1.186","203.222.201.226","25","6"
"0","203.222.201.66","192.168.1.185","80","6"
"1","203.222.201.249","203.222.201.150","110","17"
"0","172.160.2.93","203.222.201.124","53","17"
"1","172.160.2.21","172.160.2.91","110","17"
"1","203.222.201.108","203.222.201.147","110","17"
"0","203.222.201.151","172.160.2.110","80","6"
"1","172.160.2.22","172.160.2.189","22","6"
"1","192.168.1.156","192.168.1.218","53","17"
"0","192.168.1.135","172.160.2.129","110","17"
"0","172.160.2.65","203.222.201.160","23","6"
"0","203.222.201.99","192.168.1.107","25","6"
"0","192.168.1.90","203.222.201.72","22","6"
"1","203.222.201.40","203.222.201.113","25","6"
"0","172.160.2.58","203.222.201.252","80","6"
"1","192.168.1.182","192.168.1.200","53","17"
"1","192.168.1.45","203.222.201.60","21","6"
"0","172.160.2.85","192.168.1.195","80","6"
"0","192.168.1.191","203.222.201.198","80","6"
"0","192.168.1.193","203.222.201.247","53","17"
"1","192.168.1.230","192.168.1.169","53","17"
"0","192.168.1.240","172.160.2.197","53","17"
"0","172.160.2.39","203.222.201.225","110","17"
"1","192.168.1.28","192.168.1.90","110","17"
"0","203.222.201.19","172.160.2.155","22","6"
"1","172.160.2.242","172.160.2.251","53","17"
"1","172.160.2.186","172.160.2.202","22","6"
"1","192.168.1.55","192.168.1.27","22","6"
"0","203.222.201.153","172.160.2.144","25","6"
"0","172.160.2.39","203.222.201.203","25","6"
"0","192.168.1.236","203.222.201.116","22","6"
"0","172.160.2.187","192.168.1.237","25","6"
"0","203.222.201.48","192.168.1.167","21","6"
"0","192.168.1.94","172.160.2.209","80","6"
"0","172.160.2.209","203.222.201.34","22","6"
"1","203.222.201.115","203.222.201.160","110","17"
"1","203.222.201.75","203.222.201.148","110","17"
"0","172.160.2.145","203.222.201.104","53","17"
"0","172.160.2.76","192.168.1.163","22","6"
"1","203.222.201.150","203.222.201.113","110","17"
"0","203.222.201.157","192.168.1.151","22","6"
"0","172.160.2.159","203.222.201.20","80","6"
"0","172.160.2.196","192.168.1.58","80","6"
"0","172.160.2.60","192.168.1.85","25","6"
"0","192.168.1.118","203.222.201.50","22","6"
"1","172.160.2.72","172.160.2.150","21","6"
"0","192.168.1.17","172.160.2.135","21","6"
"0","203.222.201.197","172.160.2.235","21","6"
"0","192.168.1.2","172.160.2.117","25","6"
"0","192.168.1.197","172.160.2.197","23","6"
"1","203.222.201.254","203.222.201.99","53","17"
"0","203.222.201.171","192.168.1.145","110","17"
"0","192.168.1.194","172.160.2.72","22","6"
"1","192.168.1.195","192.168.1.130","25","6"
"1","192.168.1.179","192.168.1.55","22","6"
"1","192.168.1.89","203.222.201.183","25","6"
"1","192.168.1.111","192.168.1.43","110","17"
"0","203.222.201.95","192.168.1.225","21","6"
"0","203.222.201.247","172.160.2.129","22","6"
"0","172.160.2.41","203.222.201.1","21","6"
"1","172.160.2.131","192.168.1.232","23","6"
"0","192.168.1.226","172.160.2.108","110","17"
"0","192.168.1.250","203.222.201.188","23","6"
"1","172.160.2.51","172.160.2.85","80","6"
"0","172.160.2.40","192.168.1.171","25","6"
"1","192.168.1.208","203.222.201.36","21","6"
"1","203.222.201.120","203.222.201.254","53","17"
"1","172.160.2.191","172.160.2.81","25","6"
"0","172.160.2.124","192.168.1.126","80","6"
"1","172.160.2.230","172.160.2.42","23","6"
"0","172.160.2.171","192.168.1.29","80","6"
"1","203.222.201.223","203.222.201.36","80","6"
"1","203.222.201.5","203.222.201.65","53","17"
"0","203.222.201.239","192.168.1.131","23","6"
"1","192.168.1.133","203.222.201.232","21","6"
"0","172.160.2.84","203.222.201.95","21","6"
"1","203.222.201.184","203.222.201.43","21","6"
"0","192.168.1.226","203.222.201.156","53","17"
"1","172.160.2.135","172.160.2.81","22","6"
"0","172.160.2.70","192.168.1.115","110","17"
"1","203.222.201.89","172.160.2.152","53","17"
"1","203.222.201.195","203.222.201.157","80","6"
"1","203.222.201.40","172.160.2.22","53","17"
"1","192.168.1.140","192.168.1.152","80","6"
"1","172.160.2.200","172.160.2.147","22","6"
"0","192.168.1.85","172.160.2.95","23","6"
"1","192.168.1.135","192.168.1.56","25","6"
"0","203.222.201.98","192.168.1.168","80","6"
"1","192.168.1.75","192.168.1.144","21","6"
"0","203.222.201.40","192.168.1.113","22","6"
"0","172.160.2.222","203.222.201.36","25","6"
"0","172.160.2.149","203.222.201.7","53","17"
"1","192.168.1.174","192.168.1.19","22","6"
"1","192.168.1.169","192.168.1.137","110","17"
"1","192.168.1.12","192.168.1.8","80","6"
"0","172.160.2.67","203.222.201.249","80","6"
"0","192.168.1.103","203.222.201.115","23","6"
"0","172.160.2.69","203.222.201.74","53","17"
"1","192.168.1.2","192.168.1.130","22","6"
"0","203.222.201.122","192.168.1.107","22","6"
"1","192.168.1.58","192.168.1.243","22","6"
"1","192.168.1.18","192.168.1.99","25","6"
"0","192.168.1.55","203.222.201.148","23","6"
"1","192.168.1.55","192.168.1.136","23","6"
"1","192.168.1.221","203.222.201.73","21","6"
"1","192.168.1.87","192.168.1.186","21","6"
"1","172.160.2.251","172.160.2.159","22","6"
"0","203.222.201.169","192.168.1.67","80","6"
"1","192.168.1.78","192.168.1.104","23","6"
"0","203.222.201.105","172.160.2.109","25","6"
"1","203.222.201.195","172.160.2.35","53","17"
"0","203.222.201.154","192.168.1.104","21","6"
"1","172.160.2.55","172.160.2.248","53","17"
"1","192.168.1.254","192.168.1.237","53","17"
"1","203.222.201.244","203.222.201.14","22","6"
"0","203.222.201.176","192.168.1.210","25","6"
"0","192.168.1.99","203.222.201.86","22","6"
"0","192.168.1.48","172.160.2.64","21","6"
"1","172.160.2.2","172.160.2.24","21","6"
"0","192.168.1.102","172.160.2.172","22","6"
"1","192.168.1.17","192.168.1.186","22","6"
"1","172.160.2.98","172.160.2.225","110","17"
"0","192.168.1.10","203.222.201.203","22","6"
"0","203.222.201.215","172.160.2.106","25","6"
"0","203.222.201.111","192.168.1.192","21","6"
"1","203.222.201.92","203.222.201.41","21","6"
"1","192.168.1.13","192.168.1.194","25","6"
"1","203.222.201.126","203.222.201.101","25","6"
"1","203.222.201.135","203.222.201.14","21","6"
"0","192.168.1.128","172.160.2.84","21","6"
"0","192.168.1.108","203.222.201.169","53","17"
"0","203.222.201.246","192.168.1.205","21","6"
"1","192.168.1.201","192.168.1.3","53","17"
"1","203.222.201.1","203.222.201.130","23","6"
"0","192.168.1.211","203.222.201.169","53","17"
"1","172.160.2.147","172.160.2.9","21","6"
"1","172.160.2.37","172.160.2.2","25","6"
"1","192.168.1.212","192.168.1.38","23","6"
"0","192.168.1.117","203.222.201.42","22","6"
"0","172.160.2.54","203.222.201.144","22","6"
"0","172.160.2.12","203.222.201.136","25","6"
"0","192.168.1.247","172.160.2.157","23","6"
"0","192.168.1.224","203.222.201.193","23","6"
"1","172.160.2.157","172.160.2.170","80","6"
"0","172.160.2.81","203.222.201.176","110","17"
"0","203.222.201.103","192.168.1.145","80","6"
"1","192.168.1.247","192.168.1.193","53","17"
"1","203.222.201.37","172.160.2.93","53","17"
"0","172.160.2.173","192.168.1.85","21","6"
"0","172.160.2.32","203.222.201.144","22","6"
"0","203.222.201.4","192.168.1.175","25","6"
"1","172.160.2.108","172.160.2.3","110","17"
"0","203.222.201.231","192.168.1.154","22","6"
"0","203.222.201.168","192.168.1.231","23","6"
"0","203.222.201.215","192.168.1.145","22","6"
"1","172.160.2.50","192.168.1.43","23","6"
"0","192.168.1.81","172.160.2.85","110","17"
"1","172.160.2.40","172.160.2.14","53","17"
"0","172.160.2.148","192.168.1.173","110","17"
"0","172.160.2.167","192.168.1.40","22","6"
"1","172.160.2.26","172.160.2.77","23","6"
"0","172.160.2.227","192.168.1.205","25","6"
"0","203.222.201.147","172.160.2.247","23","6"
"0","192.168.1.159","203.222.201.110","22","6"
"1","203.222.201.64","203.222.201.183","25","6"
"1","192.168.1.174","203.222.201.217","25","6"
"1","203.222.201.62","203.222.201.220","53","17"
"0","203.222.201.134","172.160.2.131","22","6"
"1","172.160.2.32","172.160.2.135","22","6"
"0","203.222.201.149","172.160.2.124","110","17"
"0","172.160.2.168","192.168.1.168","25","6"
"0","203.222.201.32","192.168.1.244","22","6"
"1","172.160.2.20","172.160.2.1","25","6"
"0","203.222.201.121","192.168.1.9","22","6"
"1","172.160.2.27","192.168.1.69","23","6"
"0","192.168.1.199","172.160.2.46","21","6"
"1","203.222.201.224","203.222.201.247","22","6"
"1","192.168.1.148","192.168.1.92","53","17"
"1","192.168.1.146","192.168.1.91","53","17"
"0","172.160.2.90","203.222.201.106","53","17"
"1","192.168.1.27","192.168.1.219","53","17"
"0","203.222.201.9","172.160.2.230","110","17"
"0","203.222.201.139","192.168.1.219","25","6"
"0","203.222.201.153","172.160.2.15","23","6"
"0","172.160.2.105","203.222.201.251","22","6"
"0","172.160.2.23","192.168.1.97","80","6"
"0","172.160.2.175","192.168.1.128","53","17"
"1","172.160.2.161","172.160.2.18","22","6"
"0","203.222.201.194","172.160.2.178","110","17"
"0","203.222.201.78","172.160.2.4","25","6"
"1","172.160.2.58","172.160.2.187","80","6"
"0","192.168.1.61","203.222.201.59","80","6"
"0","172.160.2.33","203.222.201.2","23","6"
"1","172.160.2.84","172.160.2.107","21","6"
"0","172.160.2.103","192.168.1.83","80","6"
"0","203.222.201.49","172.160.2.45","22","6"
"0","172.160.2.205","192.168.1.33","22","6"
